ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
1,-64,-79,-78,-74,-81,-62,-70,-52,-72,-78,-75,-79,-79,-67,-54,-71,-73,-69,-68
1,-62,-79,-78,-75,-83,-55,-74,-53,-59,-75,-77,-82,-79,-66,-56,-60,-72,-83,-70
1,-62,-79,-78,-75,-83,-55,-74,-53,-59,-75,-77,-82,-79,-66,-56,-60,-72,-83,-70
1,-62,-79,-78,-75,-83,-55,-74,-53,-59,-75,-77,-82,-79,-66,-56,-60,-72,-83,-70
1,-71,-78,-83,-71,-81,-63,-76,-53,-59,-62,-75,-75,-79,-68,-55,-60,-72,-72,-75
1,-71,-78,-83,-71,-81,-63,-76,-53,-59,-62,-75,-75,-79,-68,-55,-60,-72,-72,-75
1,-68,-78,-83,-75,-76,-67,-70,-61,-67,-62,-69,-75,-79,-63,-89,-60,-72,-72,-64
2,-63,-80,-83,-77,-78,-67,-73,-62,-72,-62,-69,-75,-80,-68,-55,-68,-77,-69,-64
2,-85,-71,-83,-71,-76,-58,-76,-62,-41,-70,-75,-75,-85,-64,-54,-61,-85,-67,-70
2,-85,-71,-83,-71,-76,-58,-76,-62,-41,-70,-75,-75,-85,-64,-54,-61,-85,-67,-70
2,-65,-73,0,-72,-74,-60,-76,-63,-42,-68,-78,-74,-85,-65,-55,-58,-85,-66,-71
2,-65,-73,0,-72,-74,-60,-76,-63,-42,-68,-78,-74,-85,-65,-55,-58,-85,-66,-71
2,-67,-76,0,-72,-75,-58,-70,-61,-43,-68,-78,-74,-71,-65,-54,-63,-72,-67,-67
2,-67,-76,0,-72,-75,-58,-70,-61,-43,-68,-78,-74,-71,-65,-54,-63,-72,-67,-67
2,-67,-76,0,-72,-75,-58,-70,-61,-43,-68,-78,-74,-71,-65,-54,-63,-72,-67,-67
2,-62,-76,0,-73,-75,-56,-70,-61,-42,-68,-76,-73,-71,-63,-55,-64,-70,-67,-67
2,-62,-76,0,-73,-75,-56,-70,-61,-42,-68,-76,-73,-71,-63,-55,-64,-70,-67,-67
2,-62,-76,-76,-73,-73,-62,-70,-61,-45,-68,-76,-73,-71,-63,-55,-64,-70,-67,-67
2,-62,-76,-76,-73,-73,-62,-70,-61,-45,-68,-76,-73,-71,-63,-55,-64,-70,-67,-67
2,-64,-72,-75,-75,-73,-57,-70,-63,-41,-68,-76,-72,-71,-58,-55,-62,-70,-64,-72
