,ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
61,1,-57.0,-53.0,-54.0,-58.0,-64.0,-62.0,-70.0,-65.0,,,-62.0,-54.0,-73.0,,,,,-80.0,-77.0
61,1,-69.0,-75.0,-73.0,-74.0,-74.0,-64.0,-71.0,-61.0,-56.0,-64.0,-74.0,-79.0,-73.0,-56.0,-56.0,-68.0,-71.0,-64.0,-74.0
62,1,-57.0,-53.0,-54.0,-58.0,-64.0,-62.0,-70.0,-65.0,,,-62.0,-54.0,-73.0,,,,,-80.0,-77.0
62,1,-69.0,-75.0,-73.0,-74.0,-74.0,-64.0,-71.0,-61.0,-56.0,-64.0,-74.0,-79.0,-73.0,-56.0,-56.0,-68.0,-71.0,-64.0,-74.0
63,1,-57.0,-53.0,-54.0,-58.0,-64.0,-62.0,-70.0,-65.0,,,-62.0,-54.0,-73.0,,,,,-80.0,-77.0
63,1,-71.0,-73.0,-74.0,-77.0,-75.0,-68.0,-71.0,-55.0,-53.0,-62.0,-73.0,-81.0,-73.0,-66.0,-55.0,-68.0,-69.0,-66.0,-72.0
64,1,-57.0,-53.0,-54.0,-58.0,-64.0,-62.0,-70.0,-65.0,,,-62.0,-54.0,-73.0,,,,,-80.0,-77.0
64,1,-71.0,-73.0,-74.0,-77.0,-75.0,-68.0,-71.0,-55.0,-53.0,-62.0,-73.0,-81.0,-73.0,-66.0,-55.0,-68.0,-69.0,-66.0,-72.0
65,1,-57.0,-53.0,-54.0,-58.0,-64.0,-62.0,-70.0,-65.0,,,-62.0,-54.0,-73.0,,,,,-80.0,-77.0
65,1,-63.0,-73.0,-74.0,-75.0,-77.0,-68.0,-71.0,-77.0,-53.0,-62.0,-73.0,-81.0,-73.0,-66.0,-54.0,-64.0,-69.0,-66.0,-72.0
66,1,-57.0,-53.0,-54.0,-58.0,-64.0,-62.0,-70.0,-65.0,,,-62.0,-54.0,-73.0,,,,,-80.0,-77.0
66,1,-63.0,-73.0,-74.0,-75.0,-77.0,-68.0,-71.0,-77.0,-53.0,-62.0,-73.0,-81.0,-73.0,-66.0,-54.0,-64.0,-69.0,-66.0,-72.0
67,1,-58.0,-55.0,-54.0,-63.0,-62.0,-64.0,-65.0,-69.0,-66.0,-69.0,-75.0,-76.0,-46.0,-79.0,-75.0,-76.0,-81.0,-47.0,-74.0
67,1,-63.0,-73.0,-74.0,-75.0,-77.0,-68.0,-71.0,-77.0,-53.0,-62.0,-73.0,-81.0,-73.0,-66.0,-54.0,-64.0,-69.0,-66.0,-72.0
68,1,-58.0,-55.0,-54.0,-63.0,-62.0,-64.0,-65.0,-69.0,-66.0,-69.0,-75.0,-76.0,-46.0,-79.0,-75.0,-76.0,-81.0,-47.0,-74.0
68,1,-68.0,-84.0,-74.0,-76.0,-87.0,-57.0,-71.0,-66.0,-85.0,-69.0,-70.0,-82.0,-77.0,-65.0,-55.0,-60.0,-68.0,-72.0,-70.0
69,1,-58.0,-55.0,-54.0,-63.0,-62.0,-64.0,-65.0,-69.0,-66.0,-69.0,-75.0,-76.0,-46.0,-79.0,-75.0,-76.0,-81.0,-47.0,-74.0
69,1,-68.0,-84.0,-74.0,-76.0,-87.0,-57.0,-71.0,-66.0,-85.0,-69.0,-70.0,-82.0,-77.0,-65.0,-55.0,-60.0,-68.0,-72.0,-70.0
70,1,-58.0,-55.0,-54.0,-63.0,-62.0,-64.0,-65.0,-69.0,-66.0,-69.0,-75.0,-76.0,-46.0,-79.0,-75.0,-76.0,-81.0,-47.0,-74.0
70,1,-71.0,-84.0,-74.0,-89.0,-81.0,-56.0,-73.0,-64.0,-55.0,-70.0,-71.0,-82.0,-77.0,-65.0,-56.0,-60.0,-68.0,-72.0,-70.0
71,1,-71.0,-84.0,-74.0,-89.0,-81.0,-56.0,-73.0,-64.0,-55.0,-70.0,-71.0,-82.0,-77.0,-65.0,-56.0,-60.0,-68.0,-72.0,-70.0
