,ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
2427,20,-76.0,-68.0,-57.0,-61.0,-60.0,-47.0,-55.0,-77.0,-68.0,-88.0,-62.0,-46.0,-64.0,-73.0,-58.0,,-65.0,-66.0,-60.0
2427,20,,,-65.0,-65.0,-67.0,-66.0,-67.0,,-66.0,,-71.0,-61.0,-68.0,-62.0,-64.0,-49.0,,-59.0,-66.0
2428,20,-76.0,-68.0,-57.0,-61.0,-60.0,-47.0,-55.0,-77.0,-68.0,-88.0,-62.0,-46.0,-64.0,-73.0,-58.0,,-65.0,-66.0,-60.0
2428,20,-74.0,-69.0,-67.0,-68.0,-67.0,-66.0,-72.0,,-66.0,,-71.0,-64.0,-68.0,-58.0,-64.0,-49.0,-66.0,-62.0,-64.0
2429,20,-76.0,-68.0,-57.0,-61.0,-60.0,-47.0,-55.0,-77.0,-68.0,-88.0,-62.0,-46.0,-64.0,-73.0,-58.0,,-65.0,-66.0,-60.0
2429,20,-74.0,-69.0,-67.0,-68.0,-67.0,-66.0,-72.0,,-66.0,,-71.0,-64.0,-68.0,-58.0,-64.0,-49.0,-66.0,-62.0,-64.0
2430,20,-72.0,-73.0,-63.0,-68.0,-61.0,-70.0,-70.0,-76.0,-66.0,-72.0,-79.0,-64.0,-64.0,-58.0,-59.0,-47.0,-61.0,-54.0,-66.0
2430,20,-76.0,-68.0,-57.0,-61.0,-60.0,-47.0,-55.0,-77.0,-68.0,-88.0,-62.0,-46.0,-64.0,-73.0,-58.0,,-65.0,-66.0,-60.0
2431,20,-72.0,-73.0,-63.0,-68.0,-61.0,-70.0,-70.0,-76.0,-66.0,-72.0,-79.0,-64.0,-64.0,-58.0,-59.0,-47.0,-61.0,-54.0,-66.0
2431,20,-76.0,-68.0,-57.0,-61.0,-60.0,-47.0,-55.0,-77.0,-68.0,-88.0,-62.0,-46.0,-64.0,-73.0,-58.0,,-65.0,-66.0,-60.0
2432,20,-76.0,-68.0,-57.0,-61.0,-60.0,-47.0,-55.0,-77.0,-68.0,-88.0,-62.0,-46.0,-64.0,-73.0,-58.0,,-65.0,-66.0,-60.0
2432,20,-72.0,-73.0,-63.0,-68.0,-61.0,-70.0,-70.0,-76.0,-66.0,-72.0,-79.0,-64.0,-64.0,-58.0,-59.0,-47.0,-61.0,-54.0,-66.0
2433,20,-75.0,-69.0,-63.0,-70.0,-64.0,-66.0,-70.0,-76.0,-65.0,-62.0,-74.0,-64.0,-69.0,-56.0,-57.0,-49.0,-61.0,-53.0,-62.0
2433,20,,-63.0,-62.0,,,-47.0,-58.0,-78.0,-66.0,,-62.0,-57.0,-63.0,-66.0,-63.0,-66.0,,-65.0,-62.0
2434,20,,-63.0,-62.0,,,-47.0,-58.0,-78.0,-66.0,,-62.0,-57.0,-63.0,-66.0,-63.0,-66.0,,-65.0,-62.0
2434,20,-75.0,-69.0,-63.0,-70.0,-64.0,-66.0,-70.0,-76.0,-65.0,-62.0,-74.0,-64.0,-69.0,-56.0,-57.0,-49.0,-61.0,-53.0,-62.0
2435,20,,-63.0,-62.0,,,-47.0,-58.0,-78.0,-66.0,,-62.0,-57.0,-63.0,-66.0,-63.0,-66.0,,-65.0,-62.0
2435,20,-89.0,-74.0,-63.0,-67.0,-60.0,-70.0,-68.0,-76.0,-64.0,-65.0,-74.0,-61.0,-69.0,-58.0,-90.0,-48.0,-63.0,-56.0,-88.0
2436,20,-89.0,-74.0,-63.0,-67.0,-60.0,-70.0,-68.0,-76.0,-64.0,-65.0,-74.0,-61.0,-69.0,-58.0,-90.0,-48.0,-63.0,-56.0,-88.0
2436,20,,-63.0,-62.0,,,-47.0,-58.0,-78.0,-66.0,,-62.0,-57.0,-63.0,-66.0,-63.0,-66.0,,-65.0,-62.0
2437,20,-89.0,-74.0,-63.0,-66.0,-65.0,-68.0,-64.0,-82.0,-65.0,-68.0,-79.0,-56.0,-66.0,-55.0,-58.0,-46.0,-63.0,-57.0,-59.0
2437,20,,-63.0,-62.0,,,-47.0,-58.0,-78.0,-66.0,,-62.0,-57.0,-63.0,-66.0,-63.0,-66.0,,-65.0,-62.0
2438,20,,-63.0,-62.0,,,-47.0,-58.0,-78.0,-66.0,,-62.0,-57.0,-63.0,-66.0,-63.0,-66.0,,-65.0,-62.0
2438,20,-89.0,-74.0,-63.0,-66.0,-65.0,-68.0,-64.0,-82.0,-65.0,-68.0,-79.0,-56.0,-66.0,-55.0,-58.0,-46.0,-63.0,-57.0,-59.0
2439,20,-79.0,-71.0,-70.0,-89.0,-89.0,-68.0,-68.0,-76.0,-65.0,-88.0,-79.0,-63.0,-67.0,-57.0,-58.0,-50.0,-68.0,-87.0,-87.0
2439,20,,-63.0,-62.0,,,-47.0,-58.0,-78.0,-66.0,,-62.0,-57.0,-63.0,-66.0,-63.0,-66.0,,-65.0,-62.0
2440,20,-79.0,-71.0,-70.0,-89.0,-89.0,-68.0,-68.0,-76.0,-65.0,-88.0,-79.0,-63.0,-67.0,-57.0,-58.0,-50.0,-68.0,-87.0,-87.0
2440,20,,-63.0,-62.0,,,-47.0,-58.0,-78.0,-66.0,,-62.0,-57.0,-63.0,-66.0,-63.0,-66.0,,-65.0,-62.0
2441,20,-79.0,-70.0,,-63.0,-62.0,-68.0,-68.0,-78.0,,-89.0,-79.0,-57.0,-69.0,-63.0,-63.0,-47.0,-89.0,-57.0,
2441,20,,-63.0,-62.0,,,-47.0,-58.0,-78.0,-66.0,,-62.0,-57.0,-63.0,-66.0,-63.0,-66.0,,-65.0,-62.0
2442,20,,-63.0,-62.0,,,-47.0,-58.0,-78.0,-66.0,,-62.0,-57.0,-63.0,-66.0,-63.0,-66.0,,-65.0,-62.0
2442,20,-79.0,-70.0,,-63.0,-62.0,-68.0,-68.0,-78.0,,-89.0,-79.0,-57.0,-69.0,-63.0,-63.0,-47.0,-89.0,-57.0,
2443,20,-79.0,-70.0,,-63.0,-62.0,-68.0,-68.0,-78.0,,-89.0,-79.0,-57.0,-69.0,-63.0,-63.0,-47.0,-89.0,-57.0,
2443,20,-74.0,-65.0,-63.0,-67.0,-66.0,-48.0,-53.0,-78.0,-59.0,-71.0,-62.0,-59.0,-63.0,-60.0,-65.0,-67.0,-66.0,-61.0,-59.0
2444,20,-74.0,-65.0,-63.0,-67.0,-66.0,-48.0,-53.0,-78.0,-59.0,-71.0,-62.0,-59.0,-63.0,-60.0,-65.0,-67.0,-66.0,-61.0,-59.0
2444,20,-77.0,-71.0,-68.0,-65.0,-63.0,-67.0,-66.0,-78.0,-67.0,-66.0,-79.0,-90.0,-88.0,-59.0,-90.0,-52.0,-70.0,-55.0,-60.0
2445,20,-77.0,-71.0,-68.0,-65.0,-63.0,-67.0,-66.0,-78.0,-67.0,-66.0,-79.0,-90.0,-88.0,-59.0,-90.0,-52.0,-70.0,-55.0,-60.0
2445,20,-74.0,-65.0,-63.0,-67.0,-66.0,-48.0,-53.0,-78.0,-59.0,-71.0,-62.0,-59.0,-63.0,-60.0,-65.0,-67.0,-66.0,-61.0,-59.0
2446,20,-74.0,-65.0,-63.0,-67.0,-66.0,-48.0,-53.0,-78.0,-59.0,-71.0,-62.0,-59.0,-63.0,-60.0,-65.0,-67.0,-66.0,-61.0,-59.0
2446,20,-77.0,-71.0,-68.0,-67.0,-62.0,-66.0,-66.0,-78.0,-67.0,-66.0,-79.0,,-88.0,-62.0,-63.0,-50.0,-70.0,-87.0,-60.0
2447,20,-74.0,-65.0,-63.0,-67.0,-66.0,-48.0,-53.0,-78.0,-59.0,-71.0,-62.0,-59.0,-63.0,-60.0,-65.0,-67.0,-66.0,-61.0,-59.0
2447,20,-77.0,-71.0,-68.0,-67.0,-62.0,-66.0,-66.0,-78.0,-67.0,-66.0,-79.0,,-88.0,-62.0,-63.0,-50.0,-70.0,-87.0,-60.0
2448,20,-74.0,-65.0,-63.0,-67.0,-66.0,-48.0,-53.0,-78.0,-59.0,-71.0,-62.0,-59.0,-63.0,-60.0,-65.0,-67.0,-66.0,-61.0,-59.0
2448,20,-76.0,-67.0,-74.0,-67.0,-63.0,-66.0,-68.0,-79.0,-75.0,-66.0,-75.0,-57.0,-88.0,-90.0,-62.0,-89.0,-62.0,-52.0,-54.0
2449,20,-77.0,-67.0,-88.0,-67.0,-64.0,-66.0,-68.0,-79.0,-66.0,-66.0,-76.0,-57.0,-88.0,-64.0,-88.0,-48.0,-63.0,-53.0,-57.0
2449,20,-74.0,-65.0,-63.0,-67.0,-66.0,-48.0,-53.0,-78.0,-59.0,-71.0,-62.0,-59.0,-63.0,-60.0,-65.0,-67.0,-66.0,-61.0,-59.0
2450,20,-74.0,-65.0,-63.0,-67.0,-66.0,-48.0,-53.0,-78.0,-59.0,-71.0,-62.0,-59.0,-63.0,-60.0,-65.0,-67.0,-66.0,-61.0,-59.0
2450,20,-77.0,-67.0,-88.0,-67.0,-64.0,-66.0,-68.0,-79.0,-66.0,-66.0,-76.0,-57.0,-88.0,-64.0,-88.0,-48.0,-63.0,-53.0,-57.0
2451,20,-70.0,-65.0,-57.0,-62.0,-61.0,-46.0,-49.0,-88.0,-57.0,-71.0,-58.0,-66.0,-61.0,-70.0,-66.0,-62.0,-68.0,-59.0,-55.0
2451,20,-77.0,-65.0,-69.0,-65.0,-66.0,-67.0,-70.0,-79.0,-66.0,-67.0,-75.0,-56.0,-66.0,-63.0,-63.0,-49.0,-63.0,-54.0,-60.0
2452,20,-77.0,-65.0,-69.0,-65.0,-66.0,-67.0,-70.0,-79.0,-66.0,-67.0,-75.0,-56.0,-66.0,-63.0,-63.0,-49.0,-63.0,-54.0,-60.0
2452,20,-70.0,-65.0,-57.0,-62.0,-61.0,-46.0,-49.0,-88.0,-57.0,-71.0,-58.0,-66.0,-61.0,-70.0,-66.0,-62.0,-68.0,-59.0,-55.0
2453,20,-70.0,-65.0,-57.0,-62.0,-61.0,-46.0,-49.0,-88.0,-57.0,-71.0,-58.0,-66.0,-61.0,-70.0,-66.0,-62.0,-68.0,-59.0,-55.0
2453,20,-77.0,-68.0,-72.0,-69.0,-62.0,-64.0,,-80.0,-67.0,-70.0,-77.0,-57.0,-66.0,-58.0,-86.0,-53.0,-63.0,-60.0,-59.0
2454,20,-77.0,-68.0,-72.0,-69.0,-62.0,-64.0,,-80.0,-67.0,-70.0,-77.0,-57.0,-66.0,-58.0,-86.0,-53.0,-63.0,-60.0,-59.0
2454,20,-70.0,-65.0,-57.0,-62.0,-61.0,-46.0,-49.0,-88.0,-57.0,-71.0,-58.0,-66.0,-61.0,-70.0,-66.0,-62.0,-68.0,-59.0,-55.0
2455,20,-77.0,-68.0,-72.0,-69.0,-62.0,-64.0,,-80.0,-67.0,-70.0,-77.0,-57.0,-66.0,-58.0,-86.0,-53.0,-63.0,-60.0,-59.0
2455,20,-70.0,-65.0,-57.0,-62.0,-61.0,-46.0,-49.0,-88.0,-57.0,-71.0,-58.0,-66.0,-61.0,-70.0,-66.0,-62.0,-68.0,-59.0,-55.0
2456,20,-76.0,-70.0,-68.0,-67.0,-61.0,-62.0,-66.0,-78.0,-64.0,-75.0,-75.0,-58.0,-64.0,-64.0,-58.0,-53.0,-61.0,-56.0,-61.0
2456,20,-70.0,-65.0,-57.0,-62.0,-61.0,-46.0,-49.0,-88.0,-57.0,-71.0,-58.0,-66.0,-61.0,-70.0,-66.0,-62.0,-68.0,-59.0,-55.0
2457,20,-70.0,-65.0,-57.0,-62.0,-61.0,-46.0,-49.0,-88.0,-57.0,-71.0,-58.0,-66.0,-61.0,-70.0,-66.0,-62.0,-68.0,-59.0,-55.0
2457,20,-76.0,-70.0,-68.0,-67.0,-61.0,-62.0,-66.0,-78.0,-64.0,-75.0,-75.0,-58.0,-64.0,-64.0,-58.0,-53.0,-61.0,-56.0,-61.0
2458,20,-70.0,-65.0,-57.0,-62.0,-61.0,-46.0,-49.0,-88.0,-57.0,-71.0,-58.0,-66.0,-61.0,-70.0,-66.0,-62.0,-68.0,-59.0,-55.0
2458,20,-76.0,-70.0,,-67.0,-67.0,-62.0,,-78.0,-65.0,-75.0,,-58.0,-64.0,-62.0,-58.0,-53.0,-61.0,-58.0,-64.0
2459,20,-70.0,-65.0,-57.0,-62.0,-61.0,-46.0,-49.0,-88.0,-57.0,-71.0,-58.0,-66.0,-61.0,-70.0,-66.0,-62.0,-68.0,-59.0,-55.0
2459,20,-76.0,-70.0,,-67.0,-67.0,-62.0,,-78.0,-65.0,-75.0,,-58.0,-64.0,-62.0,-58.0,-53.0,-61.0,-58.0,-64.0
2460,20,-76.0,-67.0,-66.0,-66.0,-66.0,-62.0,-74.0,-78.0,-62.0,-73.0,-72.0,-58.0,-67.0,-87.0,-57.0,-48.0,-52.0,-59.0,-62.0
2460,20,-74.0,,-48.0,-57.0,,-49.0,-47.0,,-47.0,-73.0,-57.0,,-66.0,,-73.0,-67.0,,-56.0,-59.0
2461,20,-76.0,-67.0,-66.0,-66.0,-66.0,-62.0,-74.0,-78.0,-62.0,-73.0,-72.0,-58.0,-67.0,-87.0,-57.0,-48.0,-52.0,-59.0,-62.0
2461,20,-74.0,,-48.0,-57.0,,-49.0,-47.0,,-47.0,-73.0,-57.0,,-66.0,,-73.0,-67.0,,-56.0,-59.0
2462,20,-76.0,-67.0,-67.0,-68.0,-60.0,-69.0,-74.0,-78.0,-65.0,-73.0,-72.0,-58.0,-67.0,-54.0,-59.0,-44.0,-60.0,-59.0,-60.0
2462,20,-74.0,,-48.0,-57.0,,-49.0,-47.0,,-47.0,-73.0,-57.0,,-66.0,,-73.0,-67.0,,-56.0,-59.0
2463,20,-76.0,-67.0,-67.0,-68.0,-60.0,-69.0,-74.0,-78.0,-65.0,-73.0,-72.0,-58.0,-67.0,-54.0,-59.0,-44.0,-60.0,-59.0,-60.0
2463,20,-74.0,,-48.0,-57.0,,-49.0,-47.0,,-47.0,-73.0,-57.0,,-66.0,,-73.0,-67.0,,-56.0,-59.0
2464,20,-76.0,-67.0,-67.0,-68.0,-60.0,-69.0,-74.0,-78.0,-65.0,-73.0,-72.0,-58.0,-67.0,-54.0,-59.0,-44.0,-60.0,-59.0,-60.0
2464,20,-74.0,,-48.0,-57.0,,-49.0,-47.0,,-47.0,-73.0,-57.0,,-66.0,,-73.0,-67.0,,-56.0,-59.0
2465,20,-72.0,-91.0,-89.0,-69.0,-60.0,-67.0,-74.0,-78.0,-67.0,-71.0,-82.0,-66.0,-86.0,-54.0,-60.0,-46.0,-87.0,-71.0,-86.0
2465,20,-74.0,,-48.0,-57.0,,-49.0,-47.0,,-47.0,-73.0,-57.0,,-66.0,,-73.0,-67.0,,-56.0,-59.0
2466,20,-74.0,,-48.0,-57.0,,-49.0,-47.0,,-47.0,-73.0,-57.0,,-66.0,,-73.0,-67.0,,-56.0,-59.0
2466,20,-72.0,-91.0,-89.0,-69.0,-60.0,-67.0,-74.0,-78.0,-67.0,-71.0,-82.0,-66.0,-86.0,-54.0,-60.0,-46.0,-87.0,-71.0,-86.0
2467,20,-74.0,,-48.0,-57.0,,-49.0,-47.0,,-47.0,-73.0,-57.0,,-66.0,,-73.0,-67.0,,-56.0,-59.0
2467,20,-71.0,-65.0,-89.0,-66.0,-59.0,-65.0,-70.0,-78.0,-72.0,-71.0,-80.0,-64.0,-66.0,-57.0,-61.0,-45.0,-60.0,-50.0,-63.0
2468,20,-74.0,,-48.0,-57.0,,-49.0,-47.0,,-47.0,-73.0,-57.0,,-66.0,,-73.0,-67.0,,-56.0,-59.0
2468,20,-78.0,-66.0,-62.0,-61.0,-60.0,-67.0,-73.0,-75.0,-69.0,-65.0,-77.0,-64.0,-64.0,-62.0,-58.0,-47.0,-63.0,-52.0,-60.0
2469,20,-82.0,,,-58.0,-69.0,-54.0,-48.0,,,-71.0,-57.0,-60.0,-68.0,-71.0,,-66.0,-70.0,-56.0,-58.0
2469,20,-78.0,-66.0,-62.0,-61.0,-60.0,-67.0,-73.0,-75.0,-69.0,-65.0,-77.0,-64.0,-64.0,-62.0,-58.0,-47.0,-63.0,-52.0,-60.0
2470,20,-82.0,,,-58.0,-69.0,-54.0,-48.0,,,-71.0,-57.0,-60.0,-68.0,-71.0,,-66.0,-70.0,-56.0,-58.0
2470,20,-75.0,-63.0,-68.0,-68.0,-62.0,-67.0,-72.0,-71.0,-70.0,-65.0,-77.0,-76.0,-66.0,-62.0,-63.0,-86.0,-68.0,-53.0,-63.0
2471,20,-82.0,,,-58.0,-69.0,-54.0,-48.0,,,-71.0,-57.0,-60.0,-68.0,-71.0,,-66.0,-70.0,-56.0,-58.0
2471,20,-75.0,-63.0,-68.0,-68.0,-62.0,-67.0,-72.0,-71.0,-70.0,-65.0,-77.0,-76.0,-66.0,-62.0,-63.0,-86.0,-68.0,-53.0,-63.0
2472,20,-75.0,-63.0,-68.0,-68.0,-62.0,-67.0,-72.0,-71.0,-70.0,-65.0,-77.0,-76.0,-66.0,-62.0,-63.0,-86.0,-68.0,-53.0,-63.0
2472,20,-82.0,,,-58.0,-69.0,-54.0,-48.0,,,-71.0,-57.0,-60.0,-68.0,-71.0,,-66.0,-70.0,-56.0,-58.0
2473,20,-82.0,,,-58.0,-69.0,-54.0,-48.0,,,-71.0,-57.0,-60.0,-68.0,-71.0,,-66.0,-70.0,-56.0,-58.0
2473,20,-75.0,-88.0,-68.0,-62.0,-62.0,-89.0,-72.0,-71.0,-70.0,-65.0,-77.0,-69.0,-69.0,-58.0,-59.0,-45.0,-68.0,-53.0,-86.0
2474,20,-75.0,-88.0,-68.0,-62.0,-62.0,-89.0,-72.0,-71.0,-70.0,-65.0,-77.0,-69.0,-69.0,-58.0,-59.0,-45.0,-68.0,-53.0,-86.0
2474,20,-82.0,,,-58.0,-69.0,-54.0,-48.0,,,-71.0,-57.0,-60.0,-68.0,-71.0,,-66.0,-70.0,-56.0,-58.0
2475,20,-82.0,,,-58.0,-69.0,-54.0,-48.0,,,-71.0,-57.0,-60.0,-68.0,-71.0,,-66.0,-70.0,-56.0,-58.0
2475,20,-73.0,-63.0,-71.0,-89.0,-62.0,-70.0,-71.0,-76.0,-65.0,-65.0,-73.0,-87.0,-69.0,-86.0,-59.0,-46.0,-62.0,-49.0,-63.0
2476,20,-82.0,,,-58.0,-69.0,-54.0,-48.0,,,-71.0,-57.0,-60.0,-68.0,-71.0,,-66.0,-70.0,-56.0,-58.0
2476,20,-73.0,-63.0,-71.0,-89.0,-62.0,-70.0,-71.0,-76.0,-65.0,-65.0,-73.0,-87.0,-69.0,-86.0,-59.0,-46.0,-62.0,-49.0,-63.0
2477,20,-82.0,,,-58.0,-69.0,-54.0,-48.0,,,-71.0,-57.0,-60.0,-68.0,-71.0,,-66.0,-70.0,-56.0,-58.0
2477,20,-73.0,-63.0,-71.0,-89.0,-62.0,-70.0,-71.0,-76.0,-65.0,-65.0,-73.0,-87.0,-69.0,-86.0,-59.0,-46.0,-62.0,-49.0,-63.0
2478,20,-71.0,-66.0,-59.0,-76.0,-60.0,-47.0,-62.0,,-55.0,,-65.0,-58.0,-63.0,-72.0,-59.0,-73.0,-73.0,-54.0,-62.0
2478,20,-73.0,-63.0,,-62.0,-58.0,-69.0,-70.0,,-66.0,-65.0,-73.0,-86.0,-69.0,-56.0,-67.0,-50.0,-61.0,-50.0,-58.0
2479,20,-71.0,-66.0,-59.0,-76.0,-60.0,-47.0,-62.0,,-55.0,,-65.0,-58.0,-63.0,-72.0,-59.0,-73.0,-73.0,-54.0,-62.0
2479,20,-72.0,-63.0,-86.0,-60.0,-58.0,-64.0,-88.0,,-62.0,-65.0,-71.0,-86.0,-66.0,-60.0,-64.0,-48.0,-61.0,-52.0,-85.0
2480,20,-72.0,-63.0,-86.0,-60.0,-58.0,-64.0,-88.0,,-62.0,-65.0,-71.0,-86.0,-66.0,-60.0,-64.0,-48.0,-61.0,-52.0,-85.0
2480,20,-71.0,-66.0,-59.0,-76.0,-60.0,-47.0,-62.0,,-55.0,,-65.0,-58.0,-63.0,-72.0,-59.0,-73.0,-73.0,-54.0,-62.0
2481,20,-71.0,-66.0,-59.0,-76.0,-60.0,-47.0,-62.0,,-55.0,,-65.0,-58.0,-63.0,-72.0,-59.0,-73.0,-73.0,-54.0,-62.0
2481,20,-72.0,-63.0,-89.0,-61.0,,-64.0,-64.0,,-62.0,-65.0,-71.0,-89.0,-66.0,-62.0,-64.0,-52.0,-87.0,-53.0,-84.0
2482,20,-71.0,-66.0,-59.0,-76.0,-60.0,-47.0,-62.0,,-55.0,,-65.0,-58.0,-63.0,-72.0,-59.0,-73.0,-73.0,-54.0,-62.0
2482,20,-72.0,-63.0,-89.0,-61.0,,-64.0,-64.0,,-62.0,-65.0,-71.0,-89.0,-66.0,-62.0,-64.0,-52.0,-87.0,-53.0,-84.0
2483,20,-71.0,-66.0,-59.0,-76.0,-60.0,-47.0,-62.0,,-55.0,,-65.0,-58.0,-63.0,-72.0,-59.0,-73.0,-73.0,-54.0,-62.0
2483,20,-72.0,-63.0,-89.0,-61.0,,-64.0,-64.0,,-62.0,-65.0,-71.0,-89.0,-66.0,-62.0,-64.0,-52.0,-87.0,-53.0,-84.0
2484,20,-78.0,-70.0,-63.0,-66.0,-66.0,-63.0,-68.0,,-60.0,-68.0,-71.0,-70.0,-70.0,-58.0,-61.0,-53.0,-63.0,-58.0,-58.0
2484,20,-71.0,-66.0,-59.0,-76.0,-60.0,-47.0,-62.0,,-55.0,,-65.0,-58.0,-63.0,-72.0,-59.0,-73.0,-73.0,-54.0,-62.0
2485,20,-78.0,-70.0,-63.0,-66.0,-66.0,-63.0,-68.0,,-60.0,-68.0,-71.0,-70.0,-70.0,-58.0,-61.0,-53.0,-63.0,-58.0,-58.0
2485,20,-71.0,-66.0,-59.0,-76.0,-60.0,-47.0,-62.0,,-55.0,,-65.0,-58.0,-63.0,-72.0,-59.0,-73.0,-73.0,-54.0,-62.0
2486,20,-71.0,-66.0,-59.0,-76.0,-60.0,-47.0,-62.0,,-55.0,,-65.0,-58.0,-63.0,-72.0,-59.0,-73.0,-73.0,-54.0,-62.0
2486,20,-89.0,-71.0,-71.0,-65.0,-64.0,-64.0,-68.0,,-67.0,-68.0,-72.0,-70.0,-70.0,-86.0,-87.0,-46.0,-60.0,,-63.0
2487,20,-89.0,-71.0,-71.0,-65.0,-64.0,-64.0,-68.0,,-67.0,-68.0,-72.0,-70.0,-70.0,-86.0,-87.0,-46.0,-60.0,,-63.0
2487,20,-78.0,-64.0,-58.0,-66.0,-60.0,-54.0,-59.0,-78.0,-60.0,-74.0,-62.0,-59.0,-65.0,-67.0,-58.0,-69.0,-64.0,-69.0,-57.0
2488,20,-78.0,-64.0,-58.0,-66.0,-60.0,-54.0,-59.0,-78.0,-60.0,-74.0,-62.0,-59.0,-65.0,-67.0,-58.0,-69.0,-64.0,-69.0,-57.0
2488,20,-74.0,-71.0,-89.0,-62.0,-61.0,-64.0,-68.0,-79.0,-67.0,-63.0,-72.0,-60.0,-66.0,-62.0,-63.0,-48.0,-56.0,-60.0,-68.0
2489,20,-78.0,-64.0,-58.0,-66.0,-60.0,-54.0,-59.0,-78.0,-60.0,-74.0,-62.0,-59.0,-65.0,-67.0,-58.0,-69.0,-64.0,-69.0,-57.0
2489,20,-74.0,-71.0,-89.0,-62.0,-61.0,-64.0,-68.0,-79.0,-67.0,-63.0,-72.0,-60.0,-66.0,-62.0,-63.0,-48.0,-56.0,-60.0,-68.0
2490,20,-77.0,-87.0,-85.0,-62.0,-66.0,,-68.0,-79.0,-67.0,-66.0,-71.0,-88.0,-66.0,-87.0,-63.0,-53.0,-59.0,-56.0,-62.0
2490,20,-78.0,-64.0,-58.0,-66.0,-60.0,-54.0,-59.0,-78.0,-60.0,-74.0,-62.0,-59.0,-65.0,-67.0,-58.0,-69.0,-64.0,-69.0,-57.0
2491,20,-77.0,-87.0,-85.0,-62.0,-66.0,,-68.0,-79.0,-67.0,-66.0,-71.0,-88.0,-66.0,-87.0,-63.0,-53.0,-59.0,-56.0,-62.0
2491,20,-78.0,-64.0,-58.0,-66.0,-60.0,-54.0,-59.0,-78.0,-60.0,-74.0,-62.0,-59.0,-65.0,-67.0,-58.0,-69.0,-64.0,-69.0,-57.0
2492,20,-78.0,-64.0,-58.0,-66.0,-60.0,-54.0,-59.0,-78.0,-60.0,-74.0,-62.0,-59.0,-65.0,-67.0,-58.0,-69.0,-64.0,-69.0,-57.0
2492,20,-77.0,-66.0,-66.0,-71.0,-70.0,-70.0,-68.0,-79.0,-67.0,-63.0,-71.0,-66.0,-65.0,-68.0,-59.0,-46.0,-62.0,-56.0,-63.0
2493,20,-77.0,-66.0,-66.0,-71.0,-70.0,-70.0,-68.0,-79.0,-67.0,-63.0,-71.0,-66.0,-65.0,-68.0,-59.0,-46.0,-62.0,-56.0,-63.0
2493,20,-78.0,-64.0,-58.0,-66.0,-60.0,-54.0,-59.0,-78.0,-60.0,-74.0,-62.0,-59.0,-65.0,-67.0,-58.0,-69.0,-64.0,-69.0,-57.0
2494,20,-78.0,-64.0,-58.0,-66.0,-60.0,-54.0,-59.0,-78.0,-60.0,-74.0,-62.0,-59.0,-65.0,-67.0,-58.0,-69.0,-64.0,-69.0,-57.0
2494,20,-78.0,-70.0,-66.0,-67.0,-64.0,-67.0,-65.0,-79.0,-67.0,-60.0,-75.0,-66.0,-66.0,-89.0,-56.0,-47.0,-55.0,-52.0,-63.0
2495,20,-78.0,-70.0,-66.0,-67.0,-64.0,-67.0,-65.0,-79.0,-67.0,-60.0,-75.0,-66.0,-66.0,-89.0,-56.0,-47.0,-55.0,-52.0,-63.0
2495,20,-78.0,-64.0,-58.0,-66.0,-60.0,-54.0,-59.0,-78.0,-60.0,-74.0,-62.0,-59.0,-65.0,-67.0,-58.0,-69.0,-64.0,-69.0,-57.0
2496,20,-76.0,-65.0,-63.0,-63.0,-58.0,-48.0,-60.0,-77.0,-58.0,-76.0,-59.0,-56.0,-65.0,-70.0,-65.0,-66.0,-64.0,-68.0,-61.0
2496,20,-78.0,-69.0,-69.0,-64.0,-63.0,-73.0,-66.0,-79.0,-70.0,-65.0,-89.0,-65.0,-68.0,-57.0,-56.0,-88.0,-65.0,-52.0,-62.0
2497,20,-78.0,-69.0,-69.0,-64.0,-63.0,-73.0,-66.0,-79.0,-70.0,-65.0,-89.0,-65.0,-68.0,-57.0,-56.0,-88.0,-65.0,-52.0,-62.0
2497,20,-76.0,-65.0,-63.0,-63.0,-58.0,-48.0,-60.0,-77.0,-58.0,-76.0,-59.0,-56.0,-65.0,-70.0,-65.0,-66.0,-64.0,-68.0,-61.0
2498,20,-79.0,-69.0,-70.0,-66.0,-68.0,-65.0,-66.0,-79.0,-62.0,-67.0,-85.0,-60.0,-89.0,-54.0,-56.0,-46.0,-67.0,-58.0,-67.0
2498,20,-76.0,-65.0,-63.0,-63.0,-58.0,-48.0,-60.0,-77.0,-58.0,-76.0,-59.0,-56.0,-65.0,-70.0,-65.0,-66.0,-64.0,-68.0,-61.0
2499,20,,,,,,,,,,,,,,,,,,,
2499,20,-76.0,-65.0,-63.0,-63.0,-58.0,-48.0,-60.0,-77.0,-58.0,-76.0,-59.0,-56.0,-65.0,-70.0,-65.0,-66.0,-64.0,-68.0,-61.0
2500,20,-76.0,-65.0,-63.0,-63.0,-58.0,-48.0,-60.0,-77.0,-58.0,-76.0,-59.0,-56.0,-65.0,-70.0,-65.0,-66.0,-64.0,-68.0,-61.0
2500,21,-75.0,-69.0,-67.0,-67.0,-59.0,-64.0,-69.0,-78.0,-70.0,-73.0,-76.0,-65.0,-72.0,-62.0,-59.0,-57.0,-52.0,-60.0,-63.0
